2026-01-05 09:54:30.551 [http-nio-8081-exec-9] INFO  com.yizhaoqi.minercap.performance - [性能] [USER_LOGIN] 耗时:426ms 登录成功
2026-01-05 09:54:31.045 [http-nio-8081-exec-6] INFO  com.yizhaoqi.minercap.performance - [性能] [GET_USER_INFO] 耗时:15ms 获取用户信息成功
2026-01-05 09:54:31.464 [http-nio-8081-exec-4] INFO  com.yizhaoqi.minercap.performance - [性能] [GET_USER_INFO] 耗时:13ms 获取用户信息成功
2026-01-05 09:54:31.670 [http-nio-8081-exec-5] INFO  com.yizhaoqi.minercap.performance - [性能] [GET_CONVERSATIONS] 耗时:61ms 获取对话历史成功
2026-01-05 10:54:29.152 [http-nio-8081-exec-8] INFO  com.yizhaoqi.minercap.performance - [性能] [GET_USER_INFO] 耗时:11ms 获取用户信息成功
2026-01-05 10:54:29.909 [http-nio-8081-exec-3] INFO  com.yizhaoqi.minercap.performance - [性能] [ADMIN_GET_ALL_CONVERSATIONS] 耗时:701ms 管理员查询对话历史成功
2026-01-05 10:54:31.944 [http-nio-8081-exec-1] INFO  com.yizhaoqi.minercap.performance - [性能] [GET_USER_INFO] 耗时:6ms 获取用户信息成功
2026-01-05 10:54:32.388 [http-nio-8081-exec-2] INFO  com.yizhaoqi.minercap.performance - [性能] [GET_USER_UPLOADED_FILES] 耗时:18ms 获取用户上传文件成功
2026-01-05 10:54:36.984 [http-nio-8081-exec-9] INFO  com.yizhaoqi.minercap.performance - [性能] [GET_USER_INFO] 耗时:7ms 获取用户信息成功
2026-01-05 10:54:37.258 [http-nio-8081-exec-6] INFO  com.yizhaoqi.minercap.performance - [性能] [GET_CONVERSATIONS] 耗时:15ms 获取对话历史成功
2026-01-05 10:54:41.202 [http-nio-8081-exec-4] INFO  com.yizhaoqi.minercap.performance - [性能] [USER_LOGOUT] 耗时:20ms 登出成功
2026-01-05 10:55:03.424 [http-nio-8081-exec-5] INFO  com.yizhaoqi.minercap.performance - [性能] [USER_LOGIN] 耗时:111ms 登录成功
2026-01-05 10:55:03.566 [http-nio-8081-exec-7] INFO  com.yizhaoqi.minercap.performance - [性能] [GET_USER_INFO] 耗时:4ms 获取用户信息成功
2026-01-05 10:55:03.771 [http-nio-8081-exec-8] INFO  com.yizhaoqi.minercap.performance - [性能] [GET_USER_INFO] 耗时:7ms 获取用户信息成功
2026-01-05 10:55:03.916 [http-nio-8081-exec-3] INFO  com.yizhaoqi.minercap.performance - [性能] [GET_CONVERSATIONS] 耗时:12ms 获取对话历史成功
2026-01-05 10:56:31.741 [http-nio-8081-exec-3] INFO  com.yizhaoqi.minercap.performance - [性能] [GET_USER_INFO] 耗时:10ms 获取用户信息成功
2026-01-05 10:56:31.898 [http-nio-8081-exec-4] INFO  com.yizhaoqi.minercap.performance - [性能] [GET_USER_INFO] 耗时:9ms 获取用户信息成功
2026-01-05 10:56:32.184 [http-nio-8081-exec-5] INFO  com.yizhaoqi.minercap.performance - [性能] [GET_CONVERSATIONS] 耗时:68ms 获取对话历史成功
2026-01-05 10:56:39.853 [http-nio-8081-exec-7] INFO  com.yizhaoqi.minercap.performance - [性能] [USER_LOGOUT] 耗时:32ms 登出成功
2026-01-05 11:44:57.607 [http-nio-8081-exec-8] INFO  com.yizhaoqi.minercap.performance - [性能] [USER_LOGIN] 耗时:2799237ms 登录成功
2026-01-05 11:46:09.087 [http-nio-8081-exec-8] INFO  com.yizhaoqi.minercap.performance - [性能] [SLOW_REQUEST] 耗时:2961792ms [POST] /api/v1/users/login [用户:anonymous]
2026-01-05 19:21:55.103 [http-nio-8081-exec-3] INFO  com.yizhaoqi.minercap.performance - [性能] [USER_LOGIN] 耗时:4483ms 登录成功
2026-01-05 19:21:55.160 [http-nio-8081-exec-3] INFO  com.yizhaoqi.minercap.performance - [性能] [SLOW_REQUEST] 耗时:5704ms [POST] /api/v1/users/login [用户:anonymous]
2026-01-05 19:21:55.287 [http-nio-8081-exec-4] INFO  com.yizhaoqi.minercap.performance - [性能] [GET_USER_INFO] 耗时:10ms 获取用户信息成功
2026-01-05 19:21:55.735 [http-nio-8081-exec-5] INFO  com.yizhaoqi.minercap.performance - [性能] [GET_USER_INFO] 耗时:5ms 获取用户信息成功
2026-01-05 19:21:55.944 [http-nio-8081-exec-6] INFO  com.yizhaoqi.minercap.performance - [性能] [GET_CONVERSATIONS] 耗时:44ms 获取对话历史成功
2026-01-05 19:22:01.958 [http-nio-8081-exec-8] INFO  com.yizhaoqi.minercap.performance - [性能] [GET_USER_INFO] 耗时:8ms 获取用户信息成功
2026-01-05 19:22:02.397 [http-nio-8081-exec-10] INFO  com.yizhaoqi.minercap.performance - [性能] [GET_USER_UPLOADED_FILES] 耗时:29ms 获取用户上传文件成功
2026-01-05 19:22:44.306 [http-nio-8081-exec-2] INFO  com.yizhaoqi.minercap.performance - [性能] [UPLOAD_CHUNK] 耗时:849ms 分片上传成功
2026-01-05 19:22:44.652 [http-nio-8081-exec-1] INFO  com.yizhaoqi.minercap.performance - [性能] [UPLOAD_CHUNK] 耗时:243ms 分片上传成功
2026-01-05 19:22:45.284 [http-nio-8081-exec-3] INFO  com.yizhaoqi.minercap.performance - [性能] [UPLOAD_CHUNK] 耗时:223ms 分片上传成功
2026-01-05 19:22:45.679 [http-nio-8081-exec-4] INFO  com.yizhaoqi.minercap.performance - [性能] [UPLOAD_CHUNK] 耗时:244ms 分片上传成功
2026-01-05 19:22:46.421 [http-nio-8081-exec-5] INFO  com.yizhaoqi.minercap.performance - [性能] [UPLOAD_CHUNK] 耗时:235ms 分片上传成功
2026-01-05 19:22:46.615 [http-nio-8081-exec-6] INFO  com.yizhaoqi.minercap.performance - [性能] [UPLOAD_CHUNK] 耗时:115ms 分片上传成功
2026-01-05 19:22:49.424 [http-nio-8081-exec-7] INFO  com.yizhaoqi.minercap.performance - [性能] [MERGE_FILE] 耗时:2459ms 文件合并成功
2026-01-05 19:39:19.940 [http-nio-8081-exec-8] INFO  com.yizhaoqi.minercap.performance - [性能] [GET_USER_INFO] 耗时:6ms 获取用户信息成功
2026-01-05 19:39:20.328 [http-nio-8081-exec-10] INFO  com.yizhaoqi.minercap.performance - [性能] [ADMIN_GET_ALL_CONVERSATIONS] 耗时:46ms 管理员查询对话历史成功
2026-01-05 19:39:21.030 [http-nio-8081-exec-2] INFO  com.yizhaoqi.minercap.performance - [性能] [GET_USER_INFO] 耗时:7ms 获取用户信息成功
2026-01-05 19:39:21.308 [http-nio-8081-exec-1] INFO  com.yizhaoqi.minercap.performance - [性能] [GET_CONVERSATIONS] 耗时:13ms 获取对话历史成功
2026-01-05 21:18:27.000 [http-nio-8081-exec-6] INFO  com.yizhaoqi.minercap.performance - [性能] [USER_LOGIN] 耗时:504ms 登录成功
2026-01-05 21:18:27.355 [http-nio-8081-exec-7] INFO  com.yizhaoqi.minercap.performance - [性能] [GET_USER_INFO] 耗时:4ms 获取用户信息成功
2026-01-05 21:18:27.618 [http-nio-8081-exec-8] INFO  com.yizhaoqi.minercap.performance - [性能] [GET_USER_INFO] 耗时:7ms 获取用户信息成功
2026-01-05 21:18:27.760 [http-nio-8081-exec-9] INFO  com.yizhaoqi.minercap.performance - [性能] [GET_USER_UPLOADED_FILES] 耗时:35ms 获取用户上传文件成功
