2026-01-12 20:24:06.289 [http-nio-8081-exec-1] INFO  com.yizhaoqi.smartpai.performance - [性能] [USER_LOGIN] 耗时:971ms 登录成功
2026-01-12 20:24:06.538 [http-nio-8081-exec-4] INFO  com.yizhaoqi.smartpai.performance - [性能] [GET_USER_INFO] 耗时:10ms 获取用户信息成功
2026-01-12 20:24:06.923 [http-nio-8081-exec-3] INFO  com.yizhaoqi.smartpai.performance - [性能] [GET_USER_INFO] 耗时:10ms 获取用户信息成功
2026-01-12 20:24:07.091 [http-nio-8081-exec-8] INFO  com.yizhaoqi.smartpai.performance - [性能] [GET_CONVERSATIONS] 耗时:38ms 获取对话历史成功（空结果）
2026-01-12 20:24:12.737 [http-nio-8081-exec-6] INFO  com.yizhaoqi.smartpai.performance - [性能] [GET_USER_INFO] 耗时:9ms 获取用户信息成功
2026-01-12 20:24:13.145 [http-nio-8081-exec-7] INFO  com.yizhaoqi.smartpai.performance - [性能] [ADMIN_GET_ALL_CONVERSATIONS] 耗时:47ms 管理员查询对话历史成功
2026-01-12 20:24:26.513 [http-nio-8081-exec-9] INFO  com.yizhaoqi.smartpai.performance - [性能] [GET_USER_INFO] 耗时:8ms 获取用户信息成功
2026-01-12 20:24:27.154 [http-nio-8081-exec-5] INFO  com.yizhaoqi.smartpai.performance - [性能] [GET_CONVERSATIONS] 耗时:11ms 获取对话历史成功（空结果）
2026-01-12 20:24:27.612 [http-nio-8081-exec-1] INFO  com.yizhaoqi.smartpai.performance - [性能] [GET_USER_INFO] 耗时:9ms 获取用户信息成功
2026-01-12 20:24:28.400 [http-nio-8081-exec-4] INFO  com.yizhaoqi.smartpai.performance - [性能] [GET_USER_UPLOADED_FILES] 耗时:20ms 获取用户上传文件成功
2026-01-12 20:24:30.043 [http-nio-8081-exec-3] INFO  com.yizhaoqi.smartpai.performance - [性能] [GET_USER_INFO] 耗时:8ms 获取用户信息成功
2026-01-12 20:24:30.364 [http-nio-8081-exec-8] INFO  com.yizhaoqi.smartpai.performance - [性能] [ADMIN_GET_ALL_CONVERSATIONS] 耗时:13ms 管理员查询对话历史成功
2026-01-12 20:24:33.902 [http-nio-8081-exec-6] INFO  com.yizhaoqi.smartpai.performance - [性能] [GET_USER_INFO] 耗时:7ms 获取用户信息成功
2026-01-12 20:25:00.307 [http-nio-8081-exec-5] INFO  com.yizhaoqi.smartpai.performance - [性能] [GET_USER_INFO] 耗时:7ms 获取用户信息成功
2026-01-12 20:25:00.577 [http-nio-8081-exec-1] INFO  com.yizhaoqi.smartpai.performance - [性能] [ADMIN_GET_ALL_CONVERSATIONS] 耗时:15ms 管理员查询对话历史成功
2026-01-12 20:25:02.409 [http-nio-8081-exec-3] INFO  com.yizhaoqi.smartpai.performance - [性能] [ADMIN_GET_ALL_CONVERSATIONS] 耗时:14ms 管理员查询对话历史成功
2026-01-12 20:25:04.373 [http-nio-8081-exec-8] INFO  com.yizhaoqi.smartpai.performance - [性能] [ADMIN_GET_ALL_CONVERSATIONS] 耗时:14ms 管理员查询对话历史成功
2026-01-12 20:25:17.683 [http-nio-8081-exec-10] INFO  com.yizhaoqi.smartpai.performance - [性能] [ADMIN_GET_ALL_CONVERSATIONS] 耗时:13ms 管理员查询对话历史成功
2026-01-12 20:53:56.945 [http-nio-8081-exec-6] INFO  com.yizhaoqi.smartpai.performance - [性能] [GET_USER_INFO] 耗时:9ms 获取用户信息成功
2026-01-12 20:53:57.170 [http-nio-8081-exec-2] INFO  com.yizhaoqi.smartpai.performance - [性能] [GET_USER_INFO] 耗时:8ms 获取用户信息成功
2026-01-12 20:53:57.360 [http-nio-8081-exec-7] INFO  com.yizhaoqi.smartpai.performance - [性能] [GET_USER_UPLOADED_FILES] 耗时:24ms 获取用户上传文件成功
2026-01-12 20:58:07.171 [http-nio-8081-exec-9] INFO  com.yizhaoqi.smartpai.performance - [性能] [HYBRID_SEARCH] 耗时:4000ms 混合检索成功
2026-01-12 20:58:07.208 [http-nio-8081-exec-9] INFO  com.yizhaoqi.smartpai.performance - [性能] [SLOW_REQUEST] 耗时:4037ms [GET] /api/v1/search/hybrid [用户:1]
2026-01-12 21:14:27.701 [http-nio-8081-exec-2] INFO  com.yizhaoqi.smartpai.performance - [性能] [GET_USER_INFO] 耗时:15ms 获取用户信息成功
2026-01-12 21:14:27.883 [http-nio-8081-exec-4] INFO  com.yizhaoqi.smartpai.performance - [性能] [GET_USER_INFO] 耗时:12ms 获取用户信息成功
2026-01-12 21:14:28.540 [http-nio-8081-exec-5] INFO  com.yizhaoqi.smartpai.performance - [性能] [GET_USER_UPLOADED_FILES] 耗时:42ms 获取用户上传文件成功
2026-01-12 22:01:50.487 [http-nio-8081-exec-7] INFO  com.yizhaoqi.smartpai.performance - [性能] [USER_LOGIN] 耗时:309ms 登录成功
2026-01-12 22:01:50.545 [http-nio-8081-exec-8] INFO  com.yizhaoqi.smartpai.performance - [性能] [GET_USER_INFO] 耗时:12ms 获取用户信息成功
2026-01-12 22:01:50.612 [http-nio-8081-exec-9] INFO  com.yizhaoqi.smartpai.performance - [性能] [GET_USER_INFO] 耗时:10ms 获取用户信息成功
2026-01-12 22:01:50.742 [http-nio-8081-exec-10] INFO  com.yizhaoqi.smartpai.performance - [性能] [GET_USER_UPLOADED_FILES] 耗时:25ms 获取用户上传文件成功
2026-01-12 22:02:02.291 [http-nio-8081-exec-1] INFO  com.yizhaoqi.smartpai.performance - [性能] [HYBRID_SEARCH] 耗时:1970ms 混合检索成功
